Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
22:14:20 15/10/2025, 25.00, 77.00, 50.00, 1013.25
22:14:53 15/10/2025, 25.00, 77.00, 50.00, 1013.25
22:15:03 15/10/2025, 25.00, 77.00, 50.00, 1013.25
23:39:41 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:40:47 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:40:53 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:40:59 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:46:24 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:46:30 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:46:36 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:46:42 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:46:48 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:47:49 16/10/2025, 25.00, 77.00, 50.00, 1013.25
23:47:55 16/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:33 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:37 30/10/2025, 27.00, 80.60, 50.00, 1013.25
22:18:38 30/10/2025, 28.00, 82.40, 50.00, 1013.25
22:18:38 30/10/2025, 28.00, 82.40, 50.00, 1013.25
22:18:38 30/10/2025, 28.00, 82.40, 50.00, 1013.25
22:18:39 30/10/2025, 29.00, 84.20, 50.00, 1013.25
22:18:39 30/10/2025, 29.00, 84.20, 50.00, 1013.25
22:18:40 30/10/2025, 10.00, 50.00, 50.00, 1013.25
22:18:40 30/10/2025, 10.00, 50.00, 50.00, 1013.25
22:18:40 30/10/2025, 10.00, 50.00, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:49 30/10/2025, 19.00, 66.20, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:50 30/10/2025, 20.00, 68.00, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:51 30/10/2025, 21.00, 69.80, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:52 30/10/2025, 22.00, 71.60, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:53 30/10/2025, 23.00, 73.40, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:54 30/10/2025, 24.00, 75.20, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:55 30/10/2025, 25.00, 77.00, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
22:18:56 30/10/2025, 26.00, 78.80, 50.00, 1013.25
